"path_id","criteria","hr_os","selog_hr_os","hr_pfs","selog_hr_pfs","ae","number_of_patients","ease","g_index","sucra_os","sucra_pfs"
"C21","Histology_NonSquamous, Platelets, ALT, ECOG",0.560020666714851,0.16755430752561,0.447638484696769,0.0635950931480579,0.137305699481864,3777,0.281574351997018,0.94855994158343,47.222412109375,42.203369140625
"C119","Histology_NonSquamous, Neutrophils, Platelets, ALT, AST, Bilirubin, ECOG",0.545807157540201,0.317806435604956,0.441065059522803,0.265368014335492,0.138806462248601,3266,0.356962687427597,0.949358929060898,46.9067993164062,42.1837158203125
"C87","Histology_NonSquamous, Neutrophils, Platelets, ALT, Bilirubin, ECOG",0.548252888461414,0.320068897898212,0.445521171863018,0.26867408529052,0.138669301712779,3269,0.35401666262622,0.949430344802984,46.8446044921875,41.5588989257812
"C103","Histology_NonSquamous, Neutrophils, Platelets, AST, Bilirubin, ECOG",0.550176482182231,0.321147528230514,0.438371928858652,0.270375471202621,0.139244663382594,3280,0.361992159940936,0.950578479958446,46.3299560546875,42.7963256835938
"C37","Histology_NonSquamous, Platelets, AST, ECOG",0.572246860551652,0.166517669889784,0.452128843951676,0.0632882164235405,0.137654143963295,3791,0.277535510528301,0.94902755432803,45.0650634765625,40.4944458007812
"C111","Histology_NonSquamous, Neutrophils, Platelets, Hemoglobin, AST, Bilirubin, ECOG",0.560545857831808,0.33435264734279,0.444720717971379,0.284771636103778,0.140251989389918,3242,0.356770782909272,0.950470143488648,44.8005981445312,41.3505859375
"C79","Histology_NonSquamous, Neutrophils, Platelets, Hemoglobin, Bilirubin, ECOG",0.563754144316769,0.333371554823946,0.45729295231647,0.283573124205237,0.140118968935888,3253,0.336174352625347,0.949985339017631,44.6746215820312,39.1992797851562
"C63","Histology_NonSquamous, Neutrophils, Platelets, Hemoglobin, ALT, AST, ECOG",0.574016702717471,0.202450285560697,0.443761465512813,0.107394335472901,0.140767230169051,3319,0.315581620212505,0.950587253844725,44.5039672851562,43.1446533203125
"C39","Histology_NonSquamous, Neutrophils, Platelets, AST, ECOG",0.573138664002689,0.181775327081031,0.429508964731238,0.0676552179505292,0.139884763124199,3378,0.329894446668244,0.951924574812582,44.4262084960938,48.5518188476562
"C23","Histology_NonSquamous, Neutrophils, Platelets, ALT, ECOG",0.575841618232258,0.182211431577701,0.441603778967256,0.0676876030021435,0.139370584457288,3366,0.330140454578785,0.951357908991131,44.28076171875,44.3358154296875
"C127","Histology_NonSquamous, Neutrophils, Platelets, Hemoglobin, ALT, AST, Bilirubin, ECOG",0.566442739758397,0.344939281666394,0.454042379454329,0.296534637696137,0.139813581890814,3228,0.349196144820562,0.949197114256878,44.2106323242188,39.7753295898438
