"path_id","criteria","criteria_item","hr_os","selog_hr_os","hr_pfs","selog_hr_pfs","ae","number_of_patients","ease","g_index","pareto_os","sucra_os","pareto_pfs","sucra_pfs"
"C1728","Creatinine_v4, SBP_DBP, HIV_v2, Hepatitis_B_C_v2","7, 8, 10, 11",0.750153094097192,0.340485923441049,0.547068468557897,0.301788830745993,0.195365742844163,2451,0.339517900194469,0.995454176543828,1,131.781677572873,0,1.30106632684678
"C680","Platelets, Total_bilirubin, SBP_DBP, HIV_v2","4, 6, 8, 10",0.74591726101083,0.342430048879741,0.553616820711362,0.302488454373009,0.196141479099677,2428,0.330476608404068,0.988688434765528,1,131.55740630577,0,1.27260847469932
"C1768","Platelets, Total_bilirubin, Creatinine_v4, SBP_DBP, HIV_v2, Hepatitis_B_C_v2","4, 6, 7, 8, 10, 11",0.748302948625098,0.343089473858298,0.553090086591702,0.303214273902153,0.19558214450069,2420,0.331418196702719,0.990041466163403,1,131.16002379536,0,1.28112817151525
"C1672","Platelets, SBP_DBP, HIV_v2, Hepatitis_B_C_v2","4, 8, 10, 11",0.747092249438403,0.341641440825934,0.547441317324316,0.302365656012231,0.195970695970694,2433,0.333727584225884,0.989779823357232,1,130.674003569304,0,1.29321640237516
"C1216","Creatinine_v4, SBP_DBP, Hepatitis_B_C_v2","7, 8, 11",0.750963193046384,0.340922997690235,0.547854320212954,0.30225707456117,0.195277020890098,2452,0.338482497616224,0.995753467286959,1,130.502676977989,0,1.29690687237951
"C192","Creatinine_v4, SBP_DBP","7, 8",0.750112578121752,0.343157376801258,0.552742052104771,0.304887035310241,0.195918367346941,2458,0.336638077673098,0.995128216032527,1,128.619869125521,0,1.2800309354658
"C1664","SBP_DBP, HIV_v2, Hepatitis_B_C_v2","8, 10, 11",0.755915257429273,0.34290369402513,0.548508212700898,0.304398884276615,0.195277020890098,2454,0.340480292665436,0.995434555948375,1,128.450327186199,1,52.5243213296399
"C128","SBP_DBP","8",0.758429830086499,0.345255832544995,0.551425274100365,0.307110662405869,0.195829555757024,2461,0.338657119487572,0.995036624968983,1,128.344437834622,1,51.5580055401662
"C1760","Total_bilirubin, Creatinine_v4, SBP_DBP, HIV_v2, Hepatitis_B_C_v2","6, 7, 8, 10, 11",0.758300322755343,0.339744561627128,0.554325724309845,0.300415972388588,0.19497716894977,2440,0.335181757311093,0.996312843148235,1,128.000594883998,0,1.27470677371769
"C1152","SBP_DBP, Hepatitis_B_C_v2","8, 11",0.756281573646912,0.342646844137698,0.548993524376542,0.304098842260238,0.195188379482521,2455,0.339734603475953,0.99574009014521,1,127.929208804283,1,52.7250969529086
"C1184","Total_bilirubin, SBP_DBP, Hepatitis_B_C_v2","6, 8, 11",0.76222620379567,0.343451885519332,0.551621136931203,0.304430047239527,0.194799270072994,2444,0.339840723999474,0.996386687555722,1,126.957168352171,0,1.28503581259156
"C1088","Creatinine_v4, Hepatitis_B_C_v2","7, 11",0.772855185271611,0.331892472627143,0.554261772124766,0.293026044011319,0.198738170347004,2470,0.338553216728001,0.998618587983677,1,125.570493753718,0,1.26580713695553
"C1600","Creatinine_v4, HIV_v2, Hepatitis_B_C_v2","7, 10, 11",0.766617595820449,0.331769923796013,0.553466829849947,0.292718318655123,0.198827772768262,2469,0.33916561789079,0.998927223728944,1,125.180249851279,0,1.27324466775609
