"path_id","criteria","hr_os","selog_hr_os","hr_pfs","selog_hr_pfs","ae","number_of_patients","ease","g_index","sucra_os","sucra_pfs"
"C45","BRAF_mutation, Platelets, Hemoglobin, AST, ECOG",0.33871409632619,0.197677419564522,0.320092684450895,0.0818418769309091,0.216463414634145,1462,0.266086388735228,0.953610608315949,51.274658203125,50.69873046875
"C61","BRAF_mutation, Platelets, Hemoglobin, ALT, AST, ECOG",0.340025134328181,0.199937646636205,0.320817829315759,0.0826845104809469,0.218364197530864,1445,0.243192986904458,0.951167690533579,51.1976318359375,50.4458618164062
"C109","BRAF_mutation, Platelets, Hemoglobin, AST, CNS_Metastasis, ECOG",0.341881587088302,0.198773874410668,0.316275148861646,0.0821854637827456,0.216030534351143,1457,0.272840254540101,0.954297500868078,50.7569580078125,53.7918090820312
"C125","BRAF_mutation, Platelets, Hemoglobin, ALT, AST, CNS_Metastasis, ECOG",0.341387839833107,0.201036873218208,0.316435541516063,0.0830323819915418,0.217928902627513,1440,0.263454044752501,0.95200200119697,50.7520751953125,53.57568359375
"C13","BRAF_mutation, Platelets, Hemoglobin, ECOG",0.345330745602299,0.196822951553115,0.318463127294105,0.0815950269121415,0.215745647236941,1472,0.269706049850782,0.953831665297737,49.8990478515625,52.4141235351562
"C77","BRAF_mutation, Platelets, Hemoglobin, CNS_Metastasis, ECOG",0.351796381867865,0.198251203327002,0.318415338713389,0.082157495074454,0.215314632297196,1466,0.269738142964428,0.954120555742217,47.8450317382812,52.3262329101562
"C9","BRAF_mutation, Hemoglobin, ECOG",0.350709374240493,0.189236027468233,0.32754578572866,0.0790522207065365,0.212290502793297,1595,0.264328664799917,0.978312665734026,47.60009765625,44.9807739257812
"C57","BRAF_mutation, Hemoglobin, ALT, AST, ECOG",0.352292436223222,0.193675147109108,0.326345543026102,0.0798574935078578,0.214285714285716,1559,0.247544989870743,0.975443508429258,47.5371704101562,46.4137573242188
"C121","BRAF_mutation, Hemoglobin, ALT, AST, CNS_Metastasis, ECOG",0.3528434969227,0.194376608665395,0.32301588531082,0.0797642466275786,0.21387696709585,1554,0.264234671266506,0.97600630254378,47.4627685546875,48.9217529296875
"C53","BRAF_mutation, Platelets, ALT, AST, ECOG",0.352408290110505,0.198382912743559,0.334774795746184,0.0820906645840175,0.217919514047076,1475,0.21921625130866,0.951510997109236,47.45458984375,39.9790649414062
"C41","BRAF_mutation, Hemoglobin, AST, ECOG",0.354426053200766,0.190783303629433,0.323504057048739,0.0792892511734182,0.213380281690142,1580,0.273280801971288,0.978486765696111,47.2846069335938,48.8349609375
"C37","BRAF_mutation, Platelets, AST, ECOG",0.354108025509172,0.196065111341205,0.334143191675005,0.0814295967499719,0.216054013503375,1492,0.233962369780681,0.953803962218199,47.1306762695312,40.5855102539062
"C105","BRAF_mutation, Hemoglobin, AST, CNS_Metastasis, ECOG",0.353405977377321,0.19181978114009,0.319000476727971,0.0795974072823049,0.212976022566997,1575,0.287747098759301,0.978480179730132,47.06689453125,51.6598510742188
"C117","BRAF_mutation, Platelets, ALT, AST, CNS_Metastasis, ECOG",0.354271264267943,0.199562933064033,0.327748646678338,0.0824453665455263,0.217490494296577,1470,0.236234611035946,0.952125598873031,46.6407470703125,44.9946899414062
"C93","BRAF_mutation, Platelets, Hemoglobin, ALT, CNS_Metastasis, ECOG",0.354936078724306,0.199786877090874,0.318298827730811,0.0830649680634465,0.217357910906296,1448,0.247851815641396,0.952649386431134,46.6046752929688,52.0855102539062
"C108","Platelets, Hemoglobin, AST, CNS_Metastasis, ECOG",0.357353862305623,0.198308075777598,0.338725738451249,0.0798337283572556,0.214337966349671,1519,0.249109505954437,0.948876350688339,46.4254150390625,37.4635620117188
"C60","Platelets, Hemoglobin, ALT, AST, ECOG",0.356073847994505,0.198999590010441,0.348900335022094,0.0799575831427123,0.216555801921655,1507,0.208805052721661,0.947621404913353,46.259521484375,29.5673217773438
"C29","BRAF_mutation, Platelets, Hemoglobin, ALT, ECOG",0.355978146449282,0.198742675257744,0.324814177301217,0.0827369117959578,0.217791411042946,1453,0.236472221847383,0.951775716780632,46.2237548828125,47.2949829101562
"C101","BRAF_mutation, Platelets, AST, CNS_Metastasis, ECOG",0.357866271578921,0.197027387412526,0.330127293447606,0.0814816821396168,0.215627347858753,1487,0.2487561083155,0.9540383692352,45.8936767578125,43.5445556640625
"C73","BRAF_mutation, Hemoglobin, CNS_Metastasis, ECOG",0.357519824482249,0.190040498263695,0.325729011640114,0.0791657867613575,0.21188811188811,1589,0.274662146701923,0.978161866908228,45.8806762695312,46.7501220703125
"C124","Platelets, Hemoglobin, ALT, AST, CNS_Metastasis, ECOG",0.35770895121952,0.199777385283848,0.339583946674357,0.0802265473605389,0.216136195410806,1502,0.227663803219324,0.947988626266003,45.8252563476562,36.3468627929688
"C21","BRAF_mutation, Platelets, ALT, ECOG",0.35882108343682,0.196499013729644,0.336634123232977,0.0819293983715695,0.217194570135747,1484,0.213314951247544,0.95101975109138,45.7474365234375,38.7388916015625
"C44","Platelets, Hemoglobin, AST, ECOG",0.35773406186938,0.197310731665701,0.347705429593339,0.0795354858830077,0.214755295836375,1524,0.228836425163778,0.949022856496763,45.5736694335938,30.1903076171875
"C5","BRAF_mutation, Platelets, ECOG",0.359417844506785,0.194679295548578,0.336732207479938,0.0814117128560866,0.21518987341772,1504,0.21843215466582,0.953666641203164,45.3737182617188,38.4882202148438
