"path_id","criteria","hr_os","selog_hr_os","hr_pfs","selog_hr_pfs","ae","number_of_patients","ease","g_index","sucra_os","sucra_pfs"
"C822","Neutrophils, Platelets, AST, ALT, blood_pressure_diastolic_v2, blood_pressure_systolic, ECOG",0.527081135163871,0.234317969052604,0.302371356845498,0.0886899610128941,0.195230998509687,1449,0.52941860009909,0.767011906664102,7.6011552810669,9.37013244628906
"C642","Neutrophils, CNS_Metastasis, blood_pressure_systolic, ECOG",0.53832369078031,0.234255177911109,0.326042435305158,0.103172025576008,0.196755994358252,1537,0.548590465725738,0.783763793687905,7.41872406005859,8.6232213973999
"C770","Neutrophils, blood_pressure_diastolic_v2, blood_pressure_systolic, ECOG",0.546560857319333,0.232003855670876,0.331677922500931,0.0990898310725952,0.195483415666903,1537,0.52999274219224,0.782166748364179,7.32143020629883,8.45765590667725
"C266","Neutrophils, Hemoglobin, blood_pressure_diastolic_v2, ECOG",0.547142192125547,0.230971119554845,0.32438523767135,0.0849136982448494,0.199277978339349,1498,0.468801869562874,0.794497715418061,7.30161285400391,8.82765293121338
"C902","Neutrophils, Platelets, CNS_Metastasis, blood_pressure_diastolic_v2, blood_pressure_systolic, ECOG",0.545153156424418,0.233626947304567,0.308760656003726,0.0874815979662118,0.195747800586511,1476,0.519240016222486,0.764817843613683,7.2945499420166,9.23956680297852
"C514","Neutrophils, blood_pressure_systolic, ECOG",0.549910055578022,0.225709806181546,0.335739293249108,0.0842624181651041,0.196617336152219,1539,0.518701763835866,0.784265269364043,7.25396728515625,8.39315986633301
"C138","Neutrophils, Hemoglobin, CNS_Metastasis, ECOG",0.548756709348735,0.230634381480143,0.329155398403546,0.084317210137034,0.200719424460432,1502,0.474202943568025,0.803848962198956,7.24408054351807,8.64453220367432
"C258","Neutrophils, blood_pressure_diastolic_v2, ECOG",0.552184277219618,0.225577616507967,0.348555179756852,0.0842242378968318,0.197331460674157,1544,0.496054506406144,0.79535648774717,7.20746040344238,7.79352474212646
"C50","Neutrophils, AST, ALT, ECOG",0.550196697935634,0.232982357966836,0.346319461394139,0.1019837327576,0.198294243070362,1521,0.508645265365288,0.806847256717583,7.20050525665283,7.75494480133057
"C34","Neutrophils, ALT, ECOG",0.552119092069834,0.230277138043105,0.348705413223807,0.0960128334016482,0.198294243070362,1523,0.501402320578563,0.805438174972667,7.19013786315918,7.69566822052002
"C518","Neutrophils, Platelets, blood_pressure_systolic, ECOG",0.552542742300382,0.233433975807502,0.326557131480274,0.0871372487240309,0.196781272860278,1480,0.534651381832061,0.767904328740919,7.16781616210938,8.71885108947754
"C2","Neutrophils, ECOG",0.555348053238279,0.225584779749666,0.350169285915311,0.0864320668552639,0.198601398601399,1550,0.489654359556373,0.804279414930706,7.16446113586426,7.69957160949707
"C530","Neutrophils, AST, blood_pressure_systolic, ECOG",0.554414323391786,0.235358691659219,0.331323828386058,0.102740865211778,0.197163120567376,1527,0.543021511291997,0.78711236505815,7.15870666503906,8.43122959136963
"C386","Neutrophils, CNS_Metastasis, blood_pressure_diastolic_v2, ECOG",0.557611014451015,0.226501500955993,0.345746908088656,0.0844223646301298,0.197470133520731,1542,0.494843478324639,0.794990466268922,7.1437520980835,7.94830799102783
"C802","Neutrophils, ALT, blood_pressure_diastolic_v2, blood_pressure_systolic, ECOG",0.558862388162601,0.230274297563712,0.330089787182297,0.0943294882533127,0.195121951219512,1510,0.546325846637457,0.782482854833187,7.11171722412109,8.54817199707031
"C898","Neutrophils, CNS_Metastasis, blood_pressure_diastolic_v2, blood_pressure_systolic, ECOG",0.558880102792297,0.228793470166788,0.331738569396452,0.0909395872833434,0.195621468926554,1535,0.528872030914802,0.781585821508695,7.09676456451416,8.49754047393799
"C546","Neutrophils, ALT, blood_pressure_systolic, ECOG",0.559297158169187,0.232982067316806,0.329276197220471,0.0997706852595129,0.196275071633238,1512,0.543211029566919,0.784961785731645,7.08267498016357,8.52651691436768
"C10","Neutrophils, Hemoglobin, ECOG",0.557132485191669,0.23031000223888,0.33788920189759,0.0843165050554867,0.200575125808772,1504,0.469467868517769,0.804036455274055,7.0749626159668,8.2690019607544
"C162","Neutrophils, ALT, CNS_Metastasis, ECOG",0.562061387128511,0.228685447608565,0.34881108730487,0.0910821469060789,0.198435277382647,1521,0.501385085151857,0.805166926127009,7.07166481018066,7.75622653961182
"C562","Neutrophils, AST, ALT, blood_pressure_systolic, ECOG",0.565215688667376,0.234312269059504,0.332857026442978,0.102777684293333,0.196275071633238,1510,0.53912816420052,0.786340272434226,7.00936031341553,8.38917541503906
"C290","Neutrophils, ALT, blood_pressure_diastolic_v2, ECOG",0.564410457838164,0.226803406428021,0.347317760393557,0.0853914145351346,0.197002141327623,1517,0.496120945257031,0.795957340490468,7.00435638427734,7.84494495391846
"C178","Neutrophils, AST, ALT, CNS_Metastasis, ECOG",0.564629849513364,0.228229167863771,0.34787121495618,0.089037696930005,0.198435277382647,1519,0.505382700492734,0.806592412350294,7.00324630737305,7.79668521881104
"C306","Neutrophils, AST, ALT, blood_pressure_diastolic_v2, ECOG",0.56792531097326,0.227029244664688,0.34807587970439,0.0853858951079863,0.197002141327623,1515,0.495279203024728,0.797365323962087,6.9902753829956,7.84231948852539
"C786","Neutrophils, AST, blood_pressure_diastolic_v2, blood_pressure_systolic, ECOG",0.568162113720664,0.231712431025029,0.337785657765083,0.0930261016683274,0.196022727272728,1525,0.522747505961901,0.784548467785245,6.95059013366699,8.24180698394775
