"path_id","criteria","criteria_item","hr_os","selog_hr_os","hr_pfs","selog_hr_pfs","ae","number_of_patients","ease","g_index","pareto_os","sucra_os","pareto_pfs","sucra_pfs"
"C695","ECOG, ANC, Platelets, ALT_AST, Total_bilirubin, CNS_metastasis, Hepatitis_B_C","1, 2, 3, 5, 6, 8, 10",0.835814074765192,0.194403437367251,0.486432495161848,0.13202788905109,0.13170951736581,4843,0.140791015594023,0.97028911942702,0,4.72959561079654,0,5.30935907199861
"C729","ECOG, Hemoglobin, ALT_AST, Creatinine_v3, CNS_metastasis, Hepatitis_B_C","1, 4, 5, 7, 8, 10",0.842680242897268,0.274600368720864,0.495157184279024,0.235191178860447,0.133886521641624,4867,0.200074234019694,0.969860372624344,0,4.72883267488647,0,5.1158819770988
"C877","ECOG, Platelets, Hemoglobin, Total_bilirubin, Creatinine_v3, HIV, Hepatitis_B_C","1, 3, 4, 6, 7, 9, 10",0.851449329699982,0.339270255579204,0.515717842207391,0.312090668942271,0.140818858560792,5291,0.258200265082171,0.989657388016462,0,4.72805315341314,0,4.76238195647011
"C185","ECOG, Hemoglobin, ALT_AST, Total_bilirubin, CNS_metastasis","1, 4, 5, 6, 8",0.837689906310052,0.240920474132091,0.49854539512593,0.19461425329241,0.133318345323739,4851,0.16497175867221,0.969456940466609,0,4.72794147728718,0,5.01002889132469
"C943","ECOG, ANC, Platelets, Hemoglobin, Total_bilirubin, CNS_metastasis, HIV, Hepatitis_B_C","1, 2, 3, 4, 6, 8, 9, 10",0.841429210818342,0.264212011307975,0.501981352986151,0.221391654444472,0.132442834503057,4813,0.186004658422275,0.969898407659222,0,4.72470950385946,0,4.89934311542369
"C755","ECOG, ANC, ALT_AST, Total_bilirubin, Creatinine_v3, CNS_metastasis, Hepatitis_B_C","1, 2, 5, 6, 7, 8, 10",0.83963433228016,0.223068745369575,0.490916184546326,0.172758466350221,0.132422137575623,4882,0.157653126193832,0.9706797381587,0,4.72435125569299,0,5.14917557696232
"C731","ECOG, ANC, Hemoglobin, ALT_AST, Creatinine_v3, CNS_metastasis, Hepatitis_B_C","1, 2, 4, 5, 7, 8, 10",0.842538614776125,0.259670196836865,0.496640471776924,0.217408639910698,0.133393420459665,4845,0.184023498412894,0.969882856403654,0,4.7162519722999,0,5.06695628612112
"C607","ECOG, ANC, Platelets, Hemoglobin, ALT_AST, Creatinine_v3, Hepatitis_B_C","1, 2, 3, 4, 5, 7, 10",0.854712093647081,0.323331745782287,0.51617998510922,0.29475915971915,0.140208333333333,5254,0.242689057586984,0.990523493970537,0,4.71621990687759,0,4.71330907696065
"C47","ECOG, ANC, Platelets, Hemoglobin, Total_bilirubin","1, 2, 3, 4, 6",0.846069327729095,0.326851115858366,0.515249110977949,0.299001946494278,0.140074595938663,5280,0.247049262715348,0.990901708723839,0,4.71582738188038,0,4.69291008453305
"C537","ECOG, Hemoglobin, ALT_AST, Hepatitis_B_C","1, 4, 5, 10",0.843695044819817,0.319258312730471,0.5116836496481,0.290852138075655,0.140917506685868,5327,0.242300573974971,0.990991428936353,0,4.71080859043721,0,4.7192713275625
