"path_id","criteria","criteria_item","hr_os","selog_hr_os","ae","number_of_patients","ease","g_index","pareto_os","sucra_os"
"C1726","ANC, Platelets, Hemoglobin, ALT_AST, Total_bilirubin, CNS_metastasis, Hepatitis_B_C, Autoimmune_disease","2, 3, 4, 5, 6, 8, 10, 11",0.853160440700705,0.134589788861257,0.212996389891696,1925,0.0873806897438203,0.47582623891422,0,2.60592969063516
"C932","Platelets, Total_bilirubin, CNS_metastasis, HIV_v2, Hepatitis_B_C","3, 6, 8, 9, 10",0.854029081006413,0.0791557487931948,0.210435779816514,2022,0.015747630940314,0.467584617844335,0,2.60422101249073
"C1131","ECOG, ANC, Hemoglobin, Total_bilirubin, Creatinine_v5, Autoimmune_disease","1, 2, 4, 6, 7, 11",0.85566483839239,0.100215958316962,0.223747426218256,1690,0.0634805718563194,0.490845204790893,0,2.60414303884407
"C49","ECOG, ALT_AST, Total_bilirubin","1, 5, 6",0.853550935635235,0.0844653580408943,0.223040857334227,1731,0.0591489937665706,0.471212130340394,0,2.60363005432653
"C1198","ANC, Platelets, Hemoglobin, Total_bilirubin, CNS_metastasis, Autoimmune_disease","2, 3, 4, 6, 8, 11",0.857549826219118,0.115815091545038,0.214030915576695,1948,0.0683539556036945,0.480597603185988,0,2.60345915719868
"C71","ECOG, ANC, Platelets, Creatinine_v5","1, 2, 3, 7",0.854494328020702,0.0837330502719409,0.22192513368984,1731,0.0483771921640217,0.480965639444872,0,2.60194248183082
"C1067","ECOG, ANC, Hemoglobin, Total_bilirubin, Autoimmune_disease","1, 2, 4, 6, 11",0.85566483839239,0.100215958316962,0.223747426218256,1690,0.0634805718563194,0.490845204790893,0,2.60142568657115
"C569","ECOG, Hemoglobin, ALT_AST, Total_bilirubin, Hepatitis_B_C","1, 4, 5, 6, 10",0.858090654405192,0.152925206519573,0.223146223146223,1676,0.11353280844755,0.483255971159455,0,2.60043958376143
"C635","ECOG, ANC, Hemoglobin, ALT_AST, Total_bilirubin, Creatinine_v5, Hepatitis_B_C","1, 2, 4, 5, 6, 7, 10",0.855517536024732,0.145223384039714,0.222222222222223,1670,0.108729305082386,0.483680698275416,0,2.59916327828179
"C452","Platelets, Creatinine_v5, CNS_metastasis, HIV_v2","3, 7, 8, 9",0.85454413204971,0.0773604808462477,0.210136674259682,2038,0.00391497441566413,0.468307385549053,0,2.59900117517425
"C79","ECOG, ANC, Platelets, Hemoglobin, Creatinine_v5","1, 2, 3, 4, 7",0.854469511436927,0.100179701994826,0.223066298342541,1678,0.0579375570643084,0.493607809833447,0,2.59842252863846
"C519","ECOG, ANC, Platelets, Hepatitis_B_C","1, 2, 3, 10",0.854494328020702,0.0837330502719409,0.22192513368984,1731,0.0483771921640217,0.480965639444872,0,2.59690673267263
"C633","ECOG, Hemoglobin, ALT_AST, Total_bilirubin, Creatinine_v5, Hepatitis_B_C","1, 4, 5, 6, 7, 10",0.858090654405192,0.152925206519573,0.223146223146223,1676,0.11353280844755,0.483255971159455,0,2.59665287861995
"C583","ECOG, ANC, Platelets, Creatinine_v5, Hepatitis_B_C","1, 2, 3, 7, 10",0.854494328020702,0.0837330502719409,0.22192513368984,1731,0.0483771921640217,0.480965639444872,0,2.59618239853386
"C1838","ANC, Platelets, Hemoglobin, Total_bilirubin, HIV_v2, Hepatitis_B_C, Autoimmune_disease","2, 3, 4, 6, 9, 10, 11",0.85517717830639,0.0791173481654062,0.212880143112702,1942,0.0342020500006797,0.484038965454555,0,2.59533230990479
"C1784","Hemoglobin, ALT_AST, Total_bilirubin, Creatinine_v5, CNS_metastasis, Hepatitis_B_C, Autoimmune_disease","4, 5, 6, 7, 8, 10, 11",0.856488023489509,0.132464074443907,0.213182897862233,1959,0.0849207929332305,0.472663013386662,0,2.59507376570795
