"path_id","criteria","hr_os","selog_hr_os","ae","number_of_patients","ease","g_index","sucra_os"
"C134","Platelets, Hemoglobin, pdl1_tissue, ECOG",0.768392747712715,0.105562133602232,0.218137254901961,962,0.0208139428013232,0.904507580106489,28.7571258544922
"C6","Platelets, Hemoglobin, ECOG",0.777850645375436,0.104788828477835,0.219832735961769,989,0.000149494728173272,0.915254103931469,27.9809417724609
"C197","Neutrophils, Hemoglobin, hpv_test, pdl1_tissue, ECOG",0.771091947423653,0.136285271724896,0.204797047970479,637,0.145361656906893,0.87415596834127,27.6876373291016
"C101","Neutrophils, Hemoglobin, ALT, hpv_test, ECOG",0.773945538061759,0.13593477763887,0.206896551724138,645,0.139437601845749,0.888429510668925,27.4464874267578
"C148","Hemoglobin, AST, pdl1_tissue, ECOG",0.784055691226095,0.104079633805494,0.216494845360825,1026,0.00601070451685137,0.905797112009801,27.4444122314453
"C4","Hemoglobin, ECOG",0.78856366023868,0.102690197294838,0.221238938053097,1070,0.0292286293280211,0.912444227120148,27.0524597167969
"C68","Hemoglobin, hpv_test, ECOG",0.781335727181835,0.123706124794371,0.226173541963016,824,0.0607082190460939,0.89475155788316,27.0068817138672
"C164","Hemoglobin, ALT, pdl1_tissue, ECOG",0.788215786961287,0.103801393065183,0.216991963260619,1024,0.0241042878652327,0.907478091669974,26.9569396972656
"C132","Hemoglobin, pdl1_tissue, ECOG",0.794925709407498,0.102750092535843,0.219705549263873,1042,0.0221715299935508,0.90119787371761,26.3467559814453
"C20","Hemoglobin, AST, ECOG",0.794186756859306,0.104228376421999,0.218120805369127,1054,0.0282889069656278,0.914759334139245,26.2022705078125
"C36","Hemoglobin, ALT, ECOG",0.79408601970828,0.103689736911007,0.218855218855219,1051,0.0371162487129191,0.916111472645101,26.2015380859375
"C199","Neutrophils, Platelets, Hemoglobin, hpv_test, pdl1_tissue, ECOG",0.78953281432403,0.13831565778991,0.209213051823417,612,0.167670616126631,0.879636247190584,26.0837860107422
"C130","Platelets, pdl1_tissue, ECOG",0.795405885066135,0.104829025989662,0.215144230769231,980,0.0220625086828559,0.910455742289344,26.0496978759766
"C69","Neutrophils, Hemoglobin, hpv_test, ECOG",0.792299789478524,0.135428906274049,0.206463195691203,656,0.141438410347218,0.887190353115898,25.5805969238281
"C180","Hemoglobin, AST, ALT, pdl1_tissue, ECOG",0.800066782723852,0.103877575491105,0.217090069284064,1018,0.00962358324901191,0.905217236554038,25.5547332763672
"C00","",0.795738364561281,0.132406151576508,0.217391304347826,2175,0.0933076356234896,1,25.4815673828125
"C150","Platelets, Hemoglobin, AST, pdl1_tissue, ECOG",0.803093364962693,0.107061584410747,0.215080346106304,950,0.0170547663604763,0.912663788522828,25.3855133056641
"C172","Hemoglobin, Bilirubin, ALT, pdl1_tissue, ECOG",0.804877022873713,0.105459894369647,0.211583924349882,991,0.014628722443347,0.905080883840258,25.1940155029297
"C52","Hemoglobin, AST, ALT, ECOG",0.805027412677721,0.103961780385998,0.218961625282167,1045,0.0361335604466104,0.914058431772691,25.1649322509766
"C21","Neutrophils, Hemoglobin, AST, ECOG",0.804915894800897,0.111565362409696,0.203651685393259,838,0.0804601593519323,0.854881832736153,25.0987243652344
"C166","Platelets, Hemoglobin, ALT, pdl1_tissue, ECOG",0.804586548591237,0.106883096250327,0.214906832298136,946,0.0216122363536704,0.911249567953601,25.0489501953125
"C196","Hemoglobin, hpv_test, pdl1_tissue, ECOG",0.803601757717854,0.124167795256005,0.225947521865889,802,0.079544929275551,0.888236909611271,24.9564208984375
"C22","Platelets, Hemoglobin, AST, ECOG",0.805931342378736,0.107216554370084,0.216867469879519,977,0.0226529796465231,0.922958431540648,24.8955841064453
"C44","Hemoglobin, Bilirubin, ALT, ECOG",0.807441882612668,0.105517874524393,0.213625866050808,1018,0.0366566764911194,0.915166164626876,24.7395324707031
"C229","Neutrophils, Hemoglobin, ALT, hpv_test, pdl1_tissue, ECOG",0.802970686793001,0.13691552083678,0.205223880597015,626,0.138503862815164,0.874225806439716,24.6334686279297
"C140","Hemoglobin, Bilirubin, pdl1_tissue, ECOG",0.809329027493243,0.103909619267829,0.213785046728972,1004,0.0161274590351392,0.899984856332548,24.6056823730469
"C247","Neutrophils, Platelets, Hemoglobin, AST, ALT, hpv_test, pdl1_tissue, ECOG",0.802984878951205,0.140297644604663,0.21011673151751,600,0.168633488123568,0.87828893464251,24.5994415283203
"C209","Neutrophils, AST, hpv_test, pdl1_tissue, ECOG",0.806401913494974,0.136164924024432,0.203636363636364,640,0.120760136756124,0.882029992979321,24.42919921875
"C87","Neutrophils, Platelets, Hemoglobin, AST, hpv_test, ECOG",0.806485088387665,0.140343122484193,0.209737827715356,623,0.169248996371298,0.893426520684563,24.3293914794922
"C109","Neutrophils, Hemoglobin, Bilirubin, ALT, hpv_test, ECOG",0.807123741651591,0.13728422032522,0.207339449541284,637,0.170053652593317,0.901495514497183,24.2132110595703
"C231","Neutrophils, Platelets, Hemoglobin, ALT, hpv_test, pdl1_tissue, ECOG",0.804911852699281,0.139013429802948,0.209708737864078,602,0.1747026612548,0.88086530250114,24.1953887939453
"C28","Hemoglobin, Bilirubin, AST, ECOG",0.815522662846275,0.106320434025425,0.213133640552995,1020,0.0343266037700223,0.912863096858471,24.1926879882812
"C182","Platelets, Hemoglobin, AST, ALT, pdl1_tissue, ECOG",0.813342126348655,0.107391537516309,0.215442092154421,943,0.0194195664543322,0.910869111086937,24.0174407958984
